"visit_date","utm_source","utm_medium","utm_campaign","utm_content","visitors_count","leads_count","purchases_count","revenue","total_cost"
2023-06-01,vk,cpc,freemium-frontend,traffic_ru.segment_keys-obs,50,13,2,45566,2032
2023-06-01,vk,cpc,prof-python,traffic_ru.segment_lal-hex,43,19,1,85144,1268
2023-06-01,vk,cpc,freemium-python,traffic_ru.segment_segment-25,40,15,1,1560,980
2023-06-01,vk,cpc,prof-data-analytics,traffic_ru.segment_active,36,19,0,,1072
2023-06-01,vk,cpc,freemium-frontend,traffic_ru.segment_segm-23,33,13,1,189210,374
2023-06-01,vk,cpc,freemium-frontend,traffic_ru.segment_active,31,15,2,103307,754
2023-06-01,vk,cpc,base-python,traffic_ru.segment_subs-group.nabor_070623,29,13,0,,889
2023-06-01,vk,cpc,prof-java,traffic_ru.segment_activ1,29,7,0,,1244
2023-06-01,vk,cpc,freemium-java,traffic_ru.segment_segment-26,26,12,0,,487
2023-06-01,vk,cpc,freemium-python,traffic_ru.segment_lal-active,22,8,0,,
2023-06-01,vk,cpc,prof-python,traffic_ru.segment_active,22,11,2,101597,760
2023-06-01,vk,cpc,freemium-java,traffic_ru.segment_active,20,7,0,,
2023-06-01,vk,cpc,base-python,traffic_ru.segment_activ.nabor_070623,16,8,0,,623
2023-06-01,vk,cpc,base-python,traffic_ru.segment_keys.nabor_070623,16,8,0,,
2023-06-01,vk,cpc,prof-data-analytics,traffic_ru.segment_activ,16,7,0,,
